Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Kilograms,Steps,Note
2020-10-17,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-10-17,Running,Cardio,1100.0,79,,,,,
2020-10-20,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-10-20,Running,Cardio,490.0,33,,,,,
2020-10-21,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-10-21,Running,Cardio,191.0,14,,,,,
2020-10-22,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-10-22,Running,Cardio,456.0,31,,,,,
2020-10-22,Running,Cardio,139.0,12,,,,,
2020-10-24,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-10-24,Running,Cardio,997.0,79,,,,,
2020-10-29,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-10-29,Running,Cardio,505.0,36,,,,,
2020-10-30,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-10-30,Running,Cardio,194.0,14,,,,,
2020-10-31,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-10-31,Running,Cardio,984.0,68,,,,,
2020-11-03,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-11-03,Running,Cardio,475.0,33,,,,,
2020-11-03,Running,Cardio,134.0,11,,,,,
2020-11-04,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-11-04,Running,Cardio,342.0,28,,,,,
2020-11-05,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-11-05,Running,Cardio,496.0,35,,,,,
2020-11-07,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-11-07,Running,Cardio,972.0,67,,,,,
2020-11-09,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-11-09,Running,Cardio,272.0,20,,,,,
2020-11-10,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-11-10,Running,Cardio,510.0,39,,,,,
2020-11-24,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-11-24,Running,Cardio,502.0,38,,,,,
2020-11-26,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-11-26,Running,Cardio,503.0,36,,,,,
2020-11-28,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-11-28,Running,Cardio,168.0,14,,,,,
2020-11-29,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-11-29,Running,Cardio,998.0,73,,,,,
2020-12-03,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-12-03,Running,Cardio,503.0,38,,,,,
2020-12-03,Running,Cardio,503.0,38,,,,,
2020-12-04,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-12-04,Running,Cardio,349.0,28,,,,,
2020-12-06,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-12-06,Running,Cardio,1001.0,72,,,,,
2020-12-08,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-12-08,Running,Cardio,399.0,28,,,,,
2020-12-09,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-12-09,Running,Cardio,164.0,13,,,,,
2020-12-09,Running,Cardio,76.0,6,,,,,
2020-12-09,Running,Cardio,134.0,10,,,,,
2020-12-10,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-12-10,Running,Cardio,484.0,33,,,,,
2020-12-12,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-12-12,Running,Cardio,889.0,67,,,,,
2020-12-15,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-12-15,Running,Cardio,481.0,35,,,,,
2020-12-19,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-12-19,Running,Cardio,446.0,33,,,,,
